TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
8B91B70E3B9C12E5E050640A29034DA5,2936,DIKLAT FUNGSIONAL PENATA RUANG,,,,,,
8B91B70E3BFF12E5E050640A29034DA5,3035,DIKLAT FUNGSIONAL PENELITI,,,,,,
8B91B70E3B8112E5E050640A29034DA5,2909,DIKLAT FUNGSIONAL PENERA,,,,,,
8B91B70E3BD412E5E050640A29034DA5,2992,DIKLAT FUNGSIONAL PENERJEMAH,,,,,,
8B91B70E3B9A12E5E050640A29034DA5,2934,DIKLAT FUNGSIONAL PENGAMAT GUNUNG API,,,,,,
8B91B70E3C0212E5E050640A29034DA5,3038,DIKLAT FUNGSIONAL PENGAMAT METEREOLOGI DAN GEOFISIKA,,,,,,
8B91B70E3B8312E5E050640A29034DA5,2911,DIKLAT FUNGSIONAL PENGAMAT TERA,,,,,,
8B91B70E3BCD12E5E050640A29034DA5,2985,DIKLAT FUNGSIONAL PENGANTAR KERJA,,,,,,
8B91B70E3B8B12E5E050640A29034DA5,2919,DIKLAT FUNGSIONAL PENGAWAS BENIH TANAMAN,,,,,,
8B91B70E3B8C12E5E050640A29034DA5,2920,DIKLAT FUNGSIONAL PENGAWAS BIBIT TERNAK,,,,,,
8B91B70E3C0312E5E050640A29034DA5,3039,DIKLAT FUNGSIONAL PENGAWAS FARMASI DAN MAKANAN,,,,,,
8B91B70E3B8412E5E050640A29034DA5,2912,DIKLAT FUNGSIONAL PENGAWAS KEMETROLOGIAN,,,,,,
8B91B70E3B6712E5E050640A29034DA5,2883,DIKLAT FUNGSIONAL PENGAWAS KESELAMATAN PELAYARAN,,,,,,
8B91B70E3BCE12E5E050640A29034DA5,2986,DIKLAT FUNGSIONAL PENGAWAS KETENAGAKERJAAN,,,,,,
8B91B70E3BD912E5E050640A29034DA5,2997,DIKLAT FUNGSIONAL PENGAWAS LINGKUNGAN HIDUP,,,,,,
8B91B70E3B8D12E5E050640A29034DA5,2921,DIKLAT FUNGSIONAL PENGAWAS MUTU HASIL PANGAN,,,,,,
8B91B70E3B8E12E5E050640A29034DA5,2922,DIKLAT FUNGSIONAL PENGAWAS MUTU PAKAN,,,,,,
8B91B70E3B7D12E5E050640A29034DA5,2905,DIKLAT FUNGSIONAL PENGAWAS PENYELENGGARAAN URUSAN PEMERINTAHAN DI DAERAH (PENGAWAS PEMERINTAHAN),,,,,,
8B91B70E3BDA12E5E050640A29034DA5,2998,DIKLAT FUNGSIONAL PENGAWAS PERIKANAN,,,,,,
8B91B70E3BF912E5E050640A29034DA5,3029,DIKLAT FUNGSIONAL PENGAWAS RADIASI,,,,,,
