TABREF PROFESI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
A5EB03E20861F6A0E040640A040252AD,A-II EKSAKTA,,,,,,
A5EB03E20862F6A0E040640A040252AD,A-II EKSAKTA BIOLOGI,,,,,,
A5EB03E20863F6A0E040640A040252AD,A-II EKSAKTA FISIKA,,,,,,
A5EB03E20867F6A0E040640A040252AD,A-II EKSAKTA GEOLOGI,,,,,,
A5EB03E20864F6A0E040640A040252AD,A-II EKSAKTA ILMU ALAM,,,,,,
A5EB03E20868F6A0E040640A040252AD,A-II EKSAKTA ILMU KIMIA,,,,,,
A5EB03E2086AF6A0E040640A040252AD,A-II EKSAKTA ILMU PASTI,,,,,,
A5EB03E20869F6A0E040640A040252AD,A-II EKSAKTA KIMIA,,,,,,
A5EB03E2086BF6A0E040640A040252AD,A-II EKSAKTA MATEMATIKA,,,,,,
A5EB03E2086CF6A0E040640A040252AD,A-II EKSAKTA STATISTIK,,,,,,
A5EB03E20597F6A0E040640A040252AD,A-II ELEKTRONIKA,,,,,,
A5EB03E2058EF6A0E040640A040252AD,A-II FILSAFAT,,,,,,
A5EB03E20591F6A0E040640A040252AD,A-II FILSAFAT & SOSIOLOGI,,,,,,
A5EB03E20590F6A0E040640A040252AD,A-II FILSAFAT BARAT,,,,,,
A5EB03E2058FF6A0E040640A040252AD,A-II FILSAFAT BHS & SAS.IND,,,,,,
A5EB03E20592F6A0E040640A040252AD,A-II FILSAFAT KEBUDAYAAN,,,,,,
A5EB03E20593F6A0E040640A040252AD,A-II FILSAFAT PENDIDIKAN,,,,,,
A5EB03E207EAF6A0E040640A040252AD,A-II IPS,,,,,,
A5EB03E207ECF6A0E040640A040252AD,A-II IPS ANTROP. BUDAYA,,,,,,
A5EB03E207EDF6A0E040640A040252AD,A-II IPS ANTROP. SOSIAL,,,,,,
A5EB03E207EBF6A0E040640A040252AD,A-II IPS ANTROPOLOGI,,,,,,
A5EB03E207F6F6A0E040640A040252AD,A-II IPS CIVICS HUKUM,,,,,,
A5EB03E20806F6A0E040640A040252AD,A-II IPS DIK. KESEHATAN,,,,,,
A5EB03E2084EF6A0E040640A040252AD,A-II IPS DIK.LUAR SEKOLAH,,,,,,
A5EB03E207F7F6A0E040640A040252AD,A-II IPS HUKUM PMP,,,,,,
A5EB03E207FDF6A0E040640A040252AD,A-II IPS ILMU BUMI,,,,,,
A5EB03E20855F6A0E040640A040252AD,A-II IPS ILMU KESEJAHTERA,,,,,,
A5EB03E207FEF6A0E040640A040252AD,A-II IPS ILMU MENDIDIK,,,,,,
A5EB03E20856F6A0E040640A040252AD,A-II IPS ILMU PEMBANGUNAN,,,,,,
A5EB03E20857F6A0E040640A040252AD,A-II IPS ILMU PENGETAHUAN,,,,,,
A5EB03E20800F6A0E040640A040252AD,A-II IPS KATAKETIK DIK.,,,,,,
A5EB03E20858F6A0E040640A040252AD,A-II IPS KESEJAH. SOSIAL,,,,,,
A5EB03E207F8F6A0E040640A040252AD,A-II IPS KEWARGANEGARAAN,,,,,,
A5EB03E2085EF6A0E040640A040252AD,A-II IPS O R & KESEHATAN,,,,,,
A5EB03E2085DF6A0E040640A040252AD,A-II IPS OLAH RAGA,,,,,,
A5EB03E20850F6A0E040640A040252AD,A-II IPS P.MORAL PANCASILA,,,,,,
A5EB03E207FFF6A0E040640A040252AD,A-II IPS PAEDAGOGIK,,,,,,
A5EB03E20859F6A0E040640A040252AD,A-II IPS PEMB.MASY.DESA,,,,,,
A5EB03E2084DF6A0E040640A040252AD,A-II IPS PEND. LUAR BIASA,,,,,,
A5EB03E20802F6A0E040640A040252AD,A-II IPS PEND.&PENGEMBANGAN,,,,,,
A5EB03E20803F6A0E040640A040252AD,A-II IPS PEND.&PENGEMBANGAN,,,,,,
A5EB03E20805F6A0E040640A040252AD,A-II IPS PEND.KEMASY.,,,,,,
A5EB03E2084AF6A0E040640A040252AD,A-II IPS PEND.KESEJAHTERAAN,,,,,,
A5EB03E2084FF6A0E040640A040252AD,A-II IPS PEND.MASYARAKAT,,,,,,
